Attendance,Internal Marks,Class Participation,Academic Activities,Sleep Time,Study Time,Final Marks
62,80,95,78,93,53,84
53,98,45,73,43,39,30
42,95,53,93,48,50,98
98,32,55,94,43,63,92
57,90,36,79,51,85,93
49,46,84,68,44,89,43
36,71,90,97,39,52,85
64,78,86,69,78,34,74
58,43,40,86,66,82,50
46,46,88,65,30,76,69
51,49,65,43,89,31,53
59,94,65,37,60,87,89
44,71,92,63,68,32,91
63,96,77,59,77,63,93
75,46,47,50,75,97,95
33,54,44,31,40,47,73
61,80,38,67,93,92,99
67,40,76,65,95,89,55
98,39,91,35,99,35,91
57,97,55,75,46,99,86
69,68,80,79,87,30,49
95,75,94,52,79,69,92
77,76,56,86,74,98,81
33,96,57,60,69,84,89
48,33,92,66,83,96,88
82,50,57,36,38,91,89
38,73,97,100,32,70,97
68,90,38,76,64,32,86
42,49,31,98,84,51,85
32,49,38,76,34,43,69
79,77,90,66,61,87,88
44,85,99,43,48,44,57
78,49,89,90,71,61,98
40,72,66,47,40,79,42
47,35,50,88,75,82,48
84,50,94,50,35,87,90
100,36,79,40,34,57,77
59,61,55,40,46,59,33
43,52,91,52,56,73,91
61,100,59,42,41,50,48
63,85,47,79,59,45,67
37,64,86,31,86,37,39
54,97,72,43,46,47,99
56,37,74,56,89,94,94
96,37,57,94,83,65,90
48,69,39,58,71,63,84
80,77,77,60,81,83,76
40,36,98,61,52,44,30
57,63,49,92,56,97,92
97,71,85,74,84,79,99
49,73,91,93,48,60,31
96,64,38,99,87,87,96
78,66,68,99,94,56,89
44,68,98,93,95,59,93
91,85,32,33,35,56,52
98,95,78,78,54,92,86
62,79,63,99,84,62,62
79,39,50,40,35,95,79
89,44,43,62,61,68,75
41,96,38,76,76,31,100
68,68,39,78,86,39,47
40,59,52,82,92,42,85
84,83,66,90,74,59,95
32,100,71,60,33,32,85
42,61,48,40,83,34,42
37,45,92,50,90,43,86
49,71,42,99,64,52,65
57,90,98,48,49,96,87
100,49,63,36,30,41,32
55,41,55,69,84,46,45
57,52,66,96,88,100,96
49,88,61,82,50,89,54
52,64,67,92,37,100,95
99,47,64,47,81,74,93
77,94,38,61,47,80,39
81,98,81,49,50,51,86
71,31,91,79,54,94,96
95,70,40,89,82,81,82
64,76,53,100,91,41,64
31,54,45,96,50,91,86
52,80,100,32,100,63,86
36,42,100,51,62,74,96
38,54,90,73,39,96,89
46,92,97,55,88,51,97
41,67,96,41,96,85,96
62,35,60,85,48,95,62
97,66,84,100,45,54,85
51,68,54,36,65,63,42
80,68,46,46,58,95,44
47,76,35,78,49,50,37
74,80,45,96,57,73,80
77,96,95,37,85,61,89
39,60,71,32,74,96,30
48,91,48,67,79,78,88
63,94,83,84,68,84,57
49,39,61,86,88,57,42
80,38,51,84,96,42,60
35,59,56,32,45,34,40
52,81,72,68,89,56,83
97,75,33,97,87,71,89
61,95,90,94,53,63,93
45,100,66,43,56,73,92
67,57,93,79,86,93,93
75,92,97,49,98,42,60
82,93,82,79,43,58,90
31,46,93,58,83,80,63
70,54,42,92,34,39,92
59,30,67,83,57,76,66
100,99,96,73,37,79,88
84,76,82,81,79,99,74
60,30,36,97,95,77,57
85,95,37,33,49,97,85
88,99,64,34,91,50,36
51,60,84,48,38,51,66
72,95,39,94,37,83,96
99,92,58,96,86,36,85
92,41,45,63,99,64,40
82,57,49,64,75,30,44
89,59,93,58,63,44,35
68,89,79,99,75,53,94
33,92,48,31,76,71,51
73,52,82,60,78,35,42
94,60,72,96,62,62,77
95,86,53,34,50,42,88
65,66,96,90,56,44,99
38,33,95,55,70,31,97
50,92,40,71,39,50,35
53,81,57,92,57,88,94
79,52,60,36,95,96,92
46,80,93,52,31,48,91
47,46,58,62,46,38,42
38,75,35,100,62,98,87
31,93,63,98,99,93,75
96,40,93,54,95,49,59
34,53,46,77,50,46,50
58,90,71,57,43,99,90
89,90,79,90,60,95,90
90,83,74,82,71,32,86
77,70,98,83,78,36,52
39,34,33,90,84,69,52
76,58,39,71,49,39,37
36,45,66,49,61,96,67
80,88,77,80,90,42,64
59,76,37,43,30,43,67
44,98,38,79,39,54,81
56,97,70,99,96,81,86
94,37,64,37,81,93,86
54,76,38,87,99,71,88
44,82,50,41,84,56,83
95,31,81,65,69,91,88
67,58,50,72,78,36,79
64,68,99,79,36,30,94
55,84,43,76,54,92,45
66,46,100,50,74,95,94
72,72,83,55,62,88,73
42,90,51,71,87,100,72
76,76,85,32,31,45,38
84,31,34,35,35,37,33
83,87,65,69,45,94,100
37,100,91,88,93,92,100
55,31,31,94,30,66,86
57,65,42,91,53,70,99
50,82,47,65,62,71,83
43,39,69,31,60,83,33
39,43,94,62,96,79,64
39,53,92,36,98,93,98
43,91,81,97,86,77,93
99,89,53,95,69,40,97
97,95,86,58,92,80,89
39,59,99,45,62,35,73
95,32,95,95,91,92,97
39,45,40,40,94,73,91
37,41,83,96,90,31,52
44,94,95,39,69,70,99
87,34,93,100,30,87,99
65,100,64,64,76,62,95
87,53,81,31,93,97,100
75,55,90,46,36,76,72
94,65,50,59,56,31,90
32,37,88,63,93,72,35
98,76,97,100,77,51,89
33,100,35,60,54,69,98
100,83,68,79,51,52,88
39,65,45,87,45,95,85
57,95,62,94,100,44,98
54,62,66,31,69,76,43
66,60,30,39,52,79,57
56,39,96,32,72,52,88
90,33,85,86,99,39,86
96,64,94,76,34,31,89
78,91,98,79,92,46,100
70,60,43,40,37,84,52
78,59,87,94,95,39,89
62,45,89,46,62,99,87
91,93,80,58,77,59,98
61,63,55,85,98,40,89
100,57,46,51,91,88,67
91,45,51,97,86,94,95
43,44,40,93,47,82,92
73,75,35,67,59,59,32
75,100,41,65,89,61,76
32,43,100,31,98,52,61
77,96,85,33,85,57,98
95,87,80,89,88,43,66
61,56,77,81,37,98,92
71,88,44,45,96,81,50
43,64,63,93,52,48,38
100,38,79,49,44,95,39
46,90,46,89,78,32,53
91,97,93,76,32,46,51
69,83,45,38,30,76,76
97,50,80,30,57,71,89
30,67,87,46,56,78,33
62,86,74,82,46,36,66
91,75,52,60,62,65,95
96,99,94,41,33,61,70
56,71,34,97,79,91,86
98,100,97,34,39,51,94
63,36,62,30,49,72,47
78,75,79,54,79,64,77
34,88,86,50,36,87,53
83,47,76,94,60,87,89
66,49,58,38,80,96,76
45,97,70,73,59,86,96
66,92,91,72,53,35,96
91,94,70,47,61,87,90
33,94,95,33,87,52,92
49,45,82,98,59,58,47
81,53,95,40,96,91,97
51,94,89,96,30,50,65
63,87,88,42,38,98,95
40,90,64,75,64,95,95
91,59,47,40,88,93,41
52,74,87,80,49,52,64
93,49,99,57,39,79,88
91,87,34,61,55,85,94
99,88,71,96,68,51,100
48,45,39,78,33,94,57
97,32,63,75,85,36,89
70,33,40,66,84,90,38
84,54,81,84,56,30,78
67,31,69,97,97,90,57
60,93,60,40,55,99,86
58,52,76,45,99,45,74
34,91,41,96,45,68,97
44,54,55,68,57,46,60
88,95,89,30,44,33,85
63,38,58,79,47,48,82
32,44,100,33,45,70,56
88,96,51,76,84,79,90
48,33,61,95,83,82,51
100,54,93,82,52,94,100
68,49,99,94,96,58,95
76,53,96,31,95,52,89
53,47,34,52,59,96,53
83,43,44,72,94,86,81
98,89,90,39,88,90,97
81,58,83,99,51,72,97
94,90,93,58,38,57,99
88,91,91,54,51,66,90
90,98,85,93,57,91,90
42,99,42,51,80,94,88
43,33,92,57,53,30,99
53,98,72,83,84,83,83
36,48,41,42,98,46,55
39,94,73,98,30,49,94
84,94,52,55,64,94,85
58,85,82,82,79,84,79
34,30,30,81,37,39,57
53,96,46,30,50,79,34
63,95,62,65,47,69,48
33,66,78,40,65,54,79
59,59,98,83,78,55,91
82,96,92,84,37,35,100
48,90,77,88,85,64,53
75,86,31,60,36,40,40
85,76,53,42,30,41,44
31,37,82,95,30,45,93
32,61,73,50,41,96,67
40,86,99,44,99,98,94
52,83,51,37,65,51,49
96,68,94,41,93,44,95
55,52,96,76,99,80,96
78,35,81,71,55,61,51
48,42,81,66,70,30,56
70,68,84,95,64,96,86
79,96,38,41,75,41,30
99,75,40,35,95,72,78
75,79,95,92,61,36,76
99,67,47,48,42,57,93
52,90,46,68,49,40,100
46,58,76,49,55,82,41
77,56,93,58,94,82,100
91,90,87,98,67,83,92
57,77,37,100,79,53,99
56,39,71,41,90,32,70
96,57,56,34,68,76,87
64,70,36,94,88,95,60
39,31,71,100,30,49,37
34,56,93,80,85,47,79
46,70,36,76,96,58,55
99,87,85,67,98,69,63
84,87,99,96,81,48,90
62,61,82,65,34,30,76
57,33,84,36,98,56,36
88,95,41,97,52,59,98
96,99,55,34,84,95,92
67,65,47,43,45,67,43
72,98,31,95,87,47,99
98,69,89,89,96,86,80
57,73,97,63,68,91,61
86,60,100,90,47,55,74
41,34,63,39,53,81,48
98,46,50,96,65,37,48
87,60,93,34,90,99,96
94,87,98,70,99,93,98
84,64,36,94,44,96,95
81,71,79,63,96,59,92
69,32,63,53,68,99,43
51,85,46,47,65,76,75
64,85,71,87,36,81,81
78,72,80,94,59,74,99
95,51,100,100,30,77,86
100,62,38,58,43,55,35
97,51,71,77,88,92,92
45,75,46,95,70,89,89
75,97,87,94,69,83,91
59,73,47,36,36,38,33
37,95,96,86,82,85,94
74,98,39,31,56,36,100
96,56,94,69,98,80,98
48,88,47,39,90,93,89
52,97,72,92,39,36,59
41,42,93,54,65,47,56
